Flight_ID,Airline,Origin_Airport,Destination_Airport,Scheduled_Departure,Weather_Delay,Air_Traffic_Delay,Security_Delay,Aircraft_Maintenance_Delay,Total_Delay
1,Delta,ORD,BOS,7,35,7,3,17,62
2,American,ORD,BOS,3,37,8,1,20,66
3,JetBlue,ORD,MIA,1,44,49,10,28,131
4,United,DFW,DEN,22,25,53,12,0,90
5,Southwest,JFK,DEN,5,39,14,11,8,72
6,American,DFW,PHX,6,18,8,2,14,42
7,JetBlue,LAX,BOS,7,57,3,11,14,85
8,United,JFK,PHX,3,12,35,8,13,68
9,Southwest,ORD,SEA,20,26,20,1,21,68
10,Delta,ORD,DEN,21,49,45,12,20,126
11,Delta,ATL,BOS,7,19,16,14,19,68
12,United,DFW,DEN,22,34,43,4,10,91
13,American,JFK,MIA,7,34,28,3,2,67
14,Delta,JFK,PHX,22,43,33,14,27,117
15,Southwest,ORD,PHX,13,32,27,2,18,79
16,American,DFW,DEN,2,38,40,6,29,113
17,United,JFK,DEN,19,49,0,8,10,67
18,Southwest,JFK,DEN,15,29,44,3,25,101
19,JetBlue,LAX,MIA,6,18,56,0,14,88
20,JetBlue,DFW,DEN,1,36,40,7,14,97
21,Delta,ATL,PHX,10,31,21,13,15,80
22,JetBlue,LAX,SEA,1,28,14,13,10,65
23,United,ATL,MIA,20,25,36,10,18,89
24,United,JFK,DEN,22,21,22,13,2,58
25,Southwest,ATL,PHX,5,16,0,10,13,39
26,Delta,DFW,MIA,21,58,52,3,19,132
27,Southwest,LAX,DEN,2,28,7,10,18,63
28,American,JFK,MIA,5,9,42,12,10,73
29,Delta,ATL,DEN,11,2,34,1,0,37
30,United,DFW,DEN,15,14,14,0,18,46
31,JetBlue,DFW,DEN,6,45,0,2,6,53
32,JetBlue,LAX,MIA,7,17,42,6,21,86
33,Delta,DFW,BOS,21,26,36,4,3,69
34,Southwest,ORD,MIA,8,41,20,4,8,73
35,Delta,ORD,BOS,7,15,32,0,18,65
36,Delta,ORD,MIA,23,4,45,0,28,77
37,Southwest,DFW,SEA,16,10,15,1,4,30
38,American,ORD,BOS,5,50,54,0,27,131
39,Delta,ORD,MIA,21,50,30,8,15,103
40,Delta,ATL,DEN,6,14,30,12,5,61
41,Southwest,LAX,MIA,7,13,55,5,24,97
42,JetBlue,ORD,BOS,17,16,24,2,14,56
43,JetBlue,LAX,DEN,15,4,10,13,21,48
44,United,ORD,DEN,20,17,50,8,20,95
45,American,DFW,DEN,16,27,2,6,27,62
46,JetBlue,JFK,MIA,9,52,54,5,5,116
47,Southwest,DFW,BOS,15,34,30,0,23,87
48,American,DFW,DEN,3,16,19,3,19,57
49,Southwest,JFK,MIA,21,19,45,5,3,72
50,JetBlue,ORD,PHX,2,34,23,12,2,71
51,American,ORD,BOS,5,41,10,10,20,81
52,American,ATL,MIA,13,50,49,1,25,125
53,JetBlue,ORD,PHX,20,20,45,0,26,91
54,Delta,ATL,DEN,22,10,20,10,12,52
55,American,JFK,SEA,6,32,14,8,17,71
56,JetBlue,LAX,DEN,3,2,15,6,23,46
57,American,LAX,DEN,18,19,51,8,21,99
58,American,ORD,PHX,21,22,23,8,0,53
59,Southwest,ORD,SEA,23,36,6,13,1,56
60,Southwest,DFW,DEN,10,34,58,7,22,121
61,United,ATL,MIA,15,3,8,7,10,28
62,Delta,DFW,MIA,0,52,8,1,17,78
63,Delta,ORD,BOS,17,57,52,3,23,135
64,Southwest,LAX,SEA,23,31,7,8,2,48
65,Delta,ORD,BOS,9,21,55,1,16,93
66,Southwest,ATL,SEA,5,5,23,14,23,65
67,United,ATL,BOS,17,13,57,13,14,97
68,Delta,JFK,DEN,2,3,19,5,7,34
69,United,LAX,SEA,23,38,53,0,22,113
70,American,LAX,BOS,10,52,36,9,3,100
